iter	Accuracy	Logloss
0	0.6164625	0.6852951714
1	0.62525	0.6784404073
2	0.6341375	0.6725352484
3	0.641175	0.6672202535
4	0.654375	0.662693188
5	0.66325	0.6579542922
6	0.6696875	0.6533435863
7	0.679575	0.6490066836
8	0.6856125	0.6449686282
9	0.692875	0.6410699127
10	0.696425	0.6371686902
11	0.7015875	0.6335826512
12	0.7057125	0.6302212169
13	0.7077875	0.6268889645
14	0.7106625	0.6234226148
15	0.7161	0.6204980391
16	0.7188375	0.6174944415
17	0.721275	0.6144704491
18	0.723325	0.6116502338
19	0.72645	0.608746358
20	0.73035	0.6059305928
21	0.7338	0.6034310991
22	0.732625	0.6009222231
23	0.737025	0.5982403441
24	0.73885	0.5957395604
25	0.7409375	0.5933625548
26	0.742425	0.5910610084
27	0.7458625	0.5887594639
28	0.7478375	0.5865701419
29	0.750075	0.5843201825
30	0.750425	0.5821186812
31	0.7521	0.5801049582
32	0.7526375	0.5780557469
33	0.7543875	0.5760767717
34	0.7538875	0.5741372759
35	0.75565	0.57216626
36	0.757025	0.5702143555
37	0.7597375	0.5683312799
38	0.760075	0.5663876841
39	0.7611375	0.5646035614
40	0.762925	0.5628322775
41	0.7632125	0.5610787309
42	0.7652875	0.5595125019
43	0.7670375	0.5579126794
44	0.7680875	0.5562452814
45	0.7688875	0.5546395273
46	0.769575	0.552983544
47	0.7697125	0.5512893042
48	0.7714625	0.5497383397
49	0.771225	0.5482305475
50	0.7719875	0.5466305462
51	0.7735875	0.5450876166
52	0.7738	0.5436823864
53	0.7738625	0.5422572942
54	0.7757875	0.5408459612
55	0.7773	0.5394427929
56	0.778425	0.5380669146
57	0.778125	0.5366726701
58	0.7797375	0.5352554516
59	0.7800875	0.5338456524
60	0.78055	0.532449921
61	0.7816625	0.5311000124
62	0.78245	0.5298826903
63	0.78195	0.5286203425
64	0.7823125	0.5273992547
65	0.7831375	0.5263251537
66	0.78425	0.5251115397
67	0.785225	0.5239497139
68	0.785125	0.5227589765
69	0.786125	0.5216286252
70	0.7871875	0.5204254479
71	0.78755	0.5192957429
72	0.7882	0.5182078144
73	0.788875	0.5170215208
74	0.79055	0.51589241
75	0.79115	0.5147951411
76	0.7917625	0.513706055
77	0.7924125	0.5126560775
78	0.79235	0.5115622895
79	0.792175	0.5105394904
80	0.7925875	0.5095047752
81	0.7943375	0.5084140512
82	0.794575	0.5073950806
83	0.7950375	0.5062892277
84	0.795075	0.5053280309
85	0.796025	0.5043177125
86	0.796925	0.5033489816
87	0.79765	0.5024654838
88	0.7980625	0.5014901031
89	0.7991375	0.5005614215
90	0.7997	0.4995952048
91	0.8007	0.498678437
92	0.8005875	0.4977507059
93	0.800675	0.4968156484
94	0.80175	0.4958990285
95	0.8016125	0.4949550826
96	0.802775	0.4940361847
97	0.80335	0.4931922757
98	0.803725	0.4922979167
99	0.803925	0.4913576604
100	0.8046875	0.4905212625
101	0.8043125	0.4896570308
102	0.805275	0.4887831075
103	0.80525	0.4878435607
104	0.8061625	0.4869715506
105	0.80655	0.4860640802
106	0.80735	0.4852290965
107	0.80725	0.4844173591
108	0.8076375	0.4835378193
109	0.808175	0.4826855064
110	0.8087125	0.4818165786
111	0.8093875	0.4808911434
112	0.8097	0.4800599714
113	0.8109375	0.4792419962
114	0.8112125	0.4783651123
115	0.811625	0.4775653225
116	0.8123875	0.4767120698
117	0.812525	0.4758702748
118	0.8134125	0.4750631464
119	0.8138375	0.4742248521
120	0.8142875	0.4733757903
121	0.8149375	0.4725675042
122	0.8159875	0.4717525069
123	0.8158375	0.4709524135
124	0.8158625	0.4701414488
125	0.8168125	0.4693007136
126	0.8166375	0.4684991029
127	0.816975	0.4677175317
128	0.81785	0.4669038231
129	0.8188375	0.4661300146
130	0.81945	0.4653783418
131	0.8195875	0.4646259892
132	0.8196625	0.463847928
133	0.820225	0.4630843011
134	0.8211875	0.4622785234
135	0.82165	0.4615003145
136	0.8216875	0.4607088897
137	0.8224375	0.4599534883
138	0.82265	0.4591999845
139	0.822875	0.4583878387
140	0.8231875	0.4576396614
141	0.823275	0.4568754728
142	0.8240125	0.4561286897
143	0.8237125	0.4553900624
144	0.824125	0.4546649164
