iter	Passed	Remaining
0	37	18493
1	72	17962
2	106	17636
3	143	17758
4	179	17731
5	215	17705
6	252	17774
7	288	17767
8	321	17563
9	354	17386
10	389	17301
11	424	17259
12	456	17117
13	490	17033
14	525	16993
15	559	16931
16	592	16837
17	625	16756
18	660	16731
19	693	16639
20	730	16656
21	764	16618
22	800	16605
23	834	16548
24	871	16565
25	908	16558
26	941	16497
27	978	16501
28	1019	16551
29	1051	16477
30	1086	16442
31	1121	16397
32	1153	16329
33	1191	16325
34	1226	16294
35	1264	16296
36	1302	16292
37	1337	16262
38	1372	16222
39	1406	16170
40	1440	16128
41	1473	16069
42	1512	16078
43	1548	16052
44	1585	16026
45	1622	16017
46	1659	15998
47	1694	15960
48	1729	15919
49	1768	15914
50	1803	15873
51	1838	15838
52	1876	15824
53	1912	15793
54	1947	15755
55	1983	15723
56	2020	15703
57	2059	15694
58	2094	15658
59	2129	15613
60	2162	15561
61	2198	15534
62	2234	15502
63	2271	15474
64	2306	15435
65	2346	15426
66	2378	15373
67	2413	15334
68	2449	15297
69	2482	15251
70	2518	15216
71	2554	15184
72	2590	15152
73	2627	15123
74	2661	15082
75	2695	15036
76	2729	14996
77	2764	14957
78	2798	14911
79	2831	14864
80	2866	14826
81	2902	14797
82	2936	14752
83	2971	14717
84	3007	14681
85	3043	14651
86	3082	14632
87	3117	14594
88	3153	14561
89	3188	14525
90	3224	14490
91	3260	14457
92	3294	14417
93	3327	14370
94	3362	14335
95	3397	14298
96	3434	14270
97	3469	14231
98	3506	14203
99	3542	14168
100	3575	14126
101	3612	14097
102	3645	14050
103	3680	14015
104	3713	13971
105	3750	13941
106	3785	13904
107	3822	13875
108	3856	13834
109	3895	13811
110	3931	13776
111	3968	13749
112	4003	13710
113	4037	13671
114	4076	13648
115	4114	13619
116	4148	13578
117	4185	13550
118	4220	13513
119	4255	13474
120	4290	13438
121	4326	13404
122	4363	13374
123	4401	13345
124	4441	13324
125	4476	13287
126	4512	13252
127	4547	13217
128	4587	13193
129	4623	13158
130	4656	13116
131	4690	13076
132	4725	13040
133	4760	13002
134	4799	12975
135	4836	12945
136	4879	12927
137	4912	12886
138	4946	12845
139	4979	12804
140	5014	12768
141	5051	12735
142	5088	12702
143	5125	12672
144	5158	12628
145	5192	12588
146	5228	12555
147	5263	12518
148	5299	12485
149	5336	12452
150	5371	12415
151	5407	12379
152	5442	12343
153	5481	12316
154	5519	12285
155	5554	12248
156	5592	12218
157	5625	12177
158	5662	12144
159	5695	12103
160	5729	12064
161	5767	12034
162	5803	11997
163	5839	11964
164	5877	11933
165	5912	11896
166	5946	11856
167	5983	11823
168	6019	11790
169	6054	11752
170	6090	11717
171	6130	11689
172	6171	11665
173	6213	11642
174	6250	11607
175	6288	11576
176	6331	11554
177	6370	11524
178	6414	11502
179	6453	11472
180	6494	11445
181	6538	11425
182	6578	11395
183	6615	11361
184	6653	11328
185	6699	11310
186	6738	11278
187	6777	11247
188	6822	11225
189	6859	11191
190	6901	11164
191	6941	11134
192	6983	11108
193	7024	11079
194	7066	11052
195	7109	11026
196	7149	10997
197	7189	10965
198	7233	10941
199	7277	10915
200	7320	10890
201	7362	10861
202	7400	10827
203	7441	10796
204	7483	10768
205	7522	10736
206	7573	10720
207	7613	10687
208	7658	10663
209	7699	10632
210	7740	10602
211	7780	10570
212	7819	10536
213	7863	10509
214	7908	10483
215	7949	10451
216	7992	10423
217	8034	10393
218	8074	10359
219	8113	10326
220	8158	10299
221	8197	10265
222	8235	10230
223	8278	10200
224	8319	10168
225	8361	10137
226	8394	10095
227	8429	10056
228	8466	10018
229	8502	9980
230	8537	9942
231	8577	9908
232	8614	9871
233	8650	9833
234	8685	9793
235	8721	9755
236	8756	9716
237	8793	9679
238	8829	9641
239	8867	9605
240	8907	9572
241	8942	9533
242	8978	9496
243	9014	9457
244	9053	9422
245	9090	9386
246	9131	9352
247	9169	9317
248	9203	9277
249	9236	9236
250	9274	9200
251	9310	9162
252	9348	9126
253	9381	9085
254	9422	9053
255	9460	9016
256	9498	8980
257	9535	8943
258	9574	8908
259	9611	8872
260	9648	8835
261	9684	8797
262	9720	8759
263	9757	8722
264	9793	8684
265	9828	8645
266	9864	8608
267	9898	8568
268	9933	8530
269	9971	8494
270	10010	8459
271	10045	8420
272	10082	8383
273	10118	8346
274	10156	8309
275	10191	8271
276	10223	8230
277	10260	8193
278	10295	8155
279	10332	8118
280	10366	8079
281	10405	8044
282	10438	8004
283	10475	7967
284	10512	7930
285	10552	7895
286	10590	7859
287	10623	7820
288	10658	7781
289	10695	7744
290	10728	7705
291	10763	7667
292	10800	7630
293	10835	7592
294	10873	7556
295	10908	7517
296	10942	7479
297	10979	7442
298	11018	7406
299	11054	7369
300	11092	7333
301	11129	7296
302	11163	7258
303	11203	7223
304	11239	7185
305	11273	7147
306	11309	7109
307	11353	7077
308	11389	7039
309	11425	7002
310	11472	6971
311	11509	6935
312	11545	6897
313	11582	6861
314	11619	6824
315	11655	6786
316	11691	6749
317	11725	6710
318	11763	6674
319	11804	6640
320	11844	6604
321	11881	6567
322	11919	6531
323	11957	6495
324	11995	6458
325	12031	6421
326	12067	6384
327	12104	6347
328	12144	6312
329	12183	6276
330	12220	6239
331	12258	6202
332	12294	6165
333	12329	6127
334	12365	6090
335	12401	6053
336	12439	6016
337	12481	5982
338	12518	5945
339	12554	5907
340	12590	5870
341	12629	5834
342	12664	5796
343	12701	5759
344	12738	5723
345	12772	5684
346	12806	5646
347	12841	5609
348	12875	5570
349	12917	5536
350	12950	5497
351	12988	5461
352	13023	5423
353	13060	5386
354	13097	5349
355	13130	5311
356	13165	5273
357	13202	5236
358	13241	5200
359	13278	5163
360	13314	5126
361	13349	5089
362	13386	5052
363	13422	5014
364	13462	4979
365	13495	4940
366	13530	4903
367	13568	4866
368	13609	4831
369	13646	4794
370	13681	4757
371	13717	4720
372	13755	4683
373	13790	4646
374	13826	4608
375	13861	4571
376	13901	4535
377	13937	4498
378	13975	4461
379	14014	4425
380	14050	4388
381	14084	4350
382	14120	4313
383	14154	4275
384	14191	4239
385	14230	4202
386	14265	4165
387	14301	4128
388	14337	4091
389	14378	4055
390	14414	4018
391	14449	3981
392	14489	3944
393	14524	3907
394	14561	3870
395	14596	3833
396	14631	3796
397	14664	3758
398	14698	3720
399	14733	3683
400	14765	3645
401	14799	3607
402	14832	3570
403	14866	3532
404	14902	3495
405	14940	3459
406	14979	3422
407	15018	3386
408	15053	3349
409	15090	3312
410	15127	3275
411	15163	3238
412	15200	3202
413	15238	3165
414	15273	3128
415	15312	3091
416	15346	3054
417	15383	3017
418	15420	2981
419	15456	2944
420	15497	2907
421	15535	2871
422	15569	2834
423	15605	2797
424	15643	2760
425	15680	2723
426	15717	2686
427	15752	2650
428	15785	2612
429	15823	2575
430	15857	2538
431	15892	2501
432	15928	2464
433	15965	2428
434	16003	2391
435	16036	2353
436	16071	2316
437	16108	2280
438	16146	2243
439	16181	2206
440	16214	2169
441	16250	2132
442	16289	2095
443	16326	2059
444	16363	2022
445	16399	1985
446	16434	1948
447	16470	1911
448	16506	1874
449	16542	1838
450	16576	1801
451	16612	1764
452	16646	1727
453	16687	1690
454	16721	1653
455	16756	1616
456	16792	1580
457	16830	1543
458	16863	1506
459	16897	1469
460	16937	1432
461	16972	1396
462	17006	1359
463	17046	1322
464	17084	1285
465	17119	1249
466	17158	1212
467	17199	1176
468	17237	1139
469	17274	1102
470	17309	1065
471	17345	1028
472	17381	992
473	17418	955
474	17453	918
475	17489	881
476	17526	845
477	17561	808
478	17602	771
479	17636	734
480	17675	698
481	17713	661
482	17754	624
483	17791	588
484	17830	551
485	17866	514
486	17904	477
487	17943	441
488	17979	404
489	18013	367
490	18050	330
491	18087	294
492	18127	257
493	18169	220
494	18206	183
495	18241	147
496	18279	110
497	18315	73
498	18351	36
499	18390	0
